timestamp,is_weekend,is_holiday,holiday_name,activity_type,congestion_fraction,is_exam_period,is_low_attendance,is_essentially_empty,tua_active,lecture_scale,active_events,building_id,room_id,floor,room_type,capacity,sensor_type,min,max,avg,stddev,sum_avg,count,quality_avg
2024-01-01T00:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9791
2024-01-01T00:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9777
2024-01-01T00:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f3-research-lounge,3,library,250,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9797
2024-01-01T00:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9918
2024-01-01T00:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9884
2024-01-01T00:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f3-research-lounge,3,library,250,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9928
2024-01-01T01:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,1.0
2024-01-01T01:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.994
2024-01-01T01:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f3-research-lounge,3,library,250,occupancy,0.0,0.0,0.0,0.0,0.0,360,1.0
2024-01-01T01:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9638
2024-01-01T01:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9832
2024-01-01T01:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f3-research-lounge,3,library,250,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9929
2024-01-01T02:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9647
2024-01-01T02:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.988
2024-01-01T02:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f3-research-lounge,3,library,250,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9783
2024-01-01T02:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9815
2024-01-01T02:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9664
2024-01-01T02:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f3-research-lounge,3,library,250,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9912
2024-01-01T03:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.999
2024-01-01T03:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9864
2024-01-01T03:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f3-research-lounge,3,library,250,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9695
2024-01-01T03:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9714
2024-01-01T03:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9733
2024-01-01T03:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f3-research-lounge,3,library,250,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9617
2024-01-01T04:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9624
2024-01-01T04:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,1.0
2024-01-01T04:00:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f3-research-lounge,3,library,250,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9803
2024-01-01T04:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f1-reading-hall,1,library,400,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9789
2024-01-01T04:30:00+05:30,0,0,,AW,0.962,0,0,0,0,0.962,,library,library-f2-study-area,2,library,350,occupancy,0.0,0.0,0.0,0.0,0.0,360,0.9933
